name,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price
COZICOMFORT,Francesca,North Region,Woodlands,1.44255,103.7958,Private room,83
Bukit Timah,Sujatha,Central Region,Bukit Timah,1.33235,103.78521,Private room,81
COMFORT Heights,Francesca,North Region,Woodlands,1.44246,103.79667,Private room,69
Ensuite EXPO,Belinda,East Region,Tampines,1.34541,103.95712,Private room,206
B&B Airport,Belinda,East Region,Tampines,1.34567,103.95963,Private room,94
Airport EXPO,Belinda,East Region,Tampines,1.34702,103.96103,Private room,104
Jumbo EXPO,Belinda,East Region,Tampines,1.34348,103.96337,Private room,208
"The Breezy East ""Leopard""",Bianca,East Region,Bedok,1.32304,103.91363,Private room,50
"The Breezy East ""Plumeria""",Bianca,East Region,Bedok,1.32458,103.91163,Private room,54
"The Breezy East ""Red Palm""",Bianca,East Region,Bedok,1.32545,103.91191,Private room,42
City Airbnb,K2 Guesthouse,Central Region,Bukit Merah,1.28875,103.80814,Private room,44
15Outram MRT,K2 Guesthouse,Central Region,Bukit Merah,1.28837,103.81099,Private room,40
Booking MRT,Belinda,East Region,Tampines,1.34561,103.95984,Private room,417
Newton subway,Elizabeth,Central Region,Newton,1.31125,103.83816,Private room,65
Sentosa Hilltop,K2 Guesthouse,Central Region,Bukit Merah,1.28976,103.80896,Private room,44
REDHILL INSEAD,K2 Guesthouse,Central Region,Bukit Merah,1.28677,103.81244,Private room,40
Redhill MRT Orange,K2 Guesthouse,Central Region,Bukit Merah,1.28537,103.81087,Private room,31
BridgeWater EXPO,Belinda,East Region,Tampines,1.34943,103.95951,Private room,49
Authentic Peranakan Shophouse,Aresha,Central Region,Geylang,1.3142,103.90232,Private room,81
Newton Train Station,Elizabeth,Central Region,Newton,1.3115,103.83759,Private room,60
Newton MRT,Elizabeth,Central Region,Newton,1.31159,103.83805,Private room,60
Heritage Apartment Orchard,Adi,Central Region,River Valley,1.29345,103.83562,Private room,56
Lincoln Street,Belinda,East Region,Tampines,1.34838,103.9592,Private room,104
New Vauxhall,Susan,East Region,Tampines,1.34816,103.93238,Private room,37
Boon Lay MRT,Lena,West Region,Jurong West,1.34135,103.71139,Private room,53
Boutiquet Arena,Frederic,Central Region,Bukit Timah,1.33171,103.79383,Entire home/apt,276
Oxford Street View,Roger,Central Region,Rochor,1.30109,103.85234,Private room,167
Holland Village,Grace,Central Region,Bukit Timah,1.31016,103.79853,Private room,100
HDB prime town,Audrey,Central Region,Queenstown,1.30901,103.79639,Shared room,208
Homestay Serangoon,Shirlnet,North-East Region,Serangoon,1.36743,103.87288,Private room,26
Condo Beach,Jimm,East Region,Bedok,1.30792,103.92287,Entire home/apt,176
East Coast Boutique,Richard,Central Region,Marine Parade,1.30377,103.89956,Private room,165
Cozy Estate,Christiana,North-East Region,Serangoon,1.35001,103.87161,Private room,44
Good sea view Resort,Sharon,East Region,Pasir Ris,1.37527,103.94562,Private room,206
MRT Orchard Road,Homestay In Central Singapore,Central Region,Toa Payoh,1.34143,103.84945,Private room,51
Chinatown Queen,Kaurus,Central Region,Outram,1.28315,103.84213,Private room,44
Common's Estate,Immellymel,North-East Region,Punggol,1.39963,103.9064,Private room,167
Cosy Bright Empire,Jenny,Central Region,Queenstown,1.28342,103.78585,Private room,128
Orchard Luxury,Dara,Central Region,Tanglin,1.30292,103.82253,Entire home/apt,2604
